# {"t_start": 1733579369.3844423, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,480.807474
-50.0,50,480.896413
-50.0,50,480.99795
-50.0,50,481.098243
-50.0,50,481.186715
-50.0,50,481.275131
-50.0,50,481.364575
-50.0,50,481.45506
-50.0,50,482.737293
-50.0,50,484.08113
-50.0,50,485.413051
-50.0,50,486.764871
-50.0,50,488.086444
-50.0,50,489.430664
-50.0,50,490.760526
-50.0,50,492.095083
-50.0,50,493.484534
-50.0,50,494.915284
-50.0,50,495.021683
-50.0,50,495.138957
0.0,50,495.240703
-50.0,50,495.339103
-50.0,50,495.43806
-50.0,50,495.535297
-50.0,50,495.625835
-50.0,50,495.724018
-50.0,50,495.817544
-50.0,50,495.90613
-50.0,50,497.19059
-50.0,50,498.536567
-50.0,50,499.877829
-50.0,50,501.205979
-50.0,50,502.559635
0.0,50,503.89193
-50.0,50,505.218037
-50.0,50,506.620531
-50.0,50,507.961311
-50.0,50,509.331301
-50.0,50,509.428966
-50.0,50,509.522789
-50.0,50,509.62362
-50.0,50,509.714274
-50.0,50,509.805542
-50.0,50,509.895523
-50.0,50,509.982635
0.0,50,510.069195
-50.0,50,510.176469
-50.0,50,510.27591
-50.0,50,511.593435
-50.0,50,512.98214
-50.0,50,514.312012
-50.0,50,515.65276
-50.0,50,516.990512
-50.0,50,518.337227
-50.0,50,519.679101
-50.0,50,521.011678
-50.0,50,522.342703
-50.0,50,523.706367
-50.0,50,523.804215
-50.0,50,523.89876
-50.0,50,523.98965
-50.0,50,524.078622
-50.0,50,524.168252
-50.0,50,524.271549
-50.0,50,524.359433
-50.0,50,524.447863
-50.0,50,524.537127
-50.0,50,524.621519
-50.0,50,525.9331
-50.0,50,527.283603
-50.0,50,528.642328
-50.0,50,529.980762
-50.0,50,531.385323
-50.0,50,532.72842
-50.0,50,534.121882
-50.0,50,535.460251
-50.0,50,536.818706
-50.0,50,538.196213
-50.0,50,538.290235
-50.0,50,538.383788
0.0,50,538.47213
-50.0,50,538.585308
-50.0,50,538.687824
-50.0,50,538.774709
-50.0,50,538.863314
0.0,50,538.950179
-50.0,50,539.044603
-50.0,50,539.128453
-50.0,50,540.419016
-50.0,50,541.760841
-50.0,50,543.088808
-50.0,50,544.428046
-50.0,50,545.759602
-50.0,50,547.086756
-50.0,50,548.423693
-50.0,50,549.760713
-50.0,50,551.093872
-50.0,50,552.443002
-50.0,50,552.54184
-50.0,50,552.636487
-50.0,50,552.72786
-50.0,50,552.824858
-50.0,50,552.91322
-50.0,50,553.018205
-50.0,50,553.117384
-50.0,50,553.209962
-50.0,50,553.297737
-50.0,50,553.383271
-50.0,50,554.69468
-50.0,50,556.029445
-50.0,50,557.36193
-50.0,50,558.714947
-50.0,50,560.050164
-50.0,50,561.381675
-50.0,50,562.721252
-50.0,50,564.065677
-50.0,50,565.415333
-50.0,50,566.761506
-50.0,50,566.870496
-50.0,50,566.965365
-50.0,50,567.118881
-50.0,50,567.20765
-50.0,50,567.298587
-50.0,50,567.387676
-50.0,50,567.477819
-50.0,50,567.567282
0.0,50,567.654083
-50.0,50,567.738989
-50.0,50,569.062564
-50.0,50,570.404918
-50.0,50,571.737711
-50.0,50,573.088733
-50.0,50,574.475253
0.0,50,575.813838
-50.0,50,577.150063
-50.0,50,578.483442
-50.0,50,579.830198
0.0,50,581.194925
-50.0,50,581.294685
-50.0,50,581.388109
-50.0,50,581.477552
-50.0,50,581.565149
-50.0,50,581.667007
-50.0,50,581.757398
-50.0,50,581.844377
-50.0,50,581.933308
-50.0,50,582.020576
-50.0,50,582.106762
-50.0,50,583.409558
-50.0,50,584.748945
-50.0,50,586.09008
-50.0,50,587.418777
-50.0,50,588.774518
-50.0,50,590.118597
-50.0,50,591.471543
-50.0,50,592.805893
-50.0,50,594.155303
-50.0,50,595.521123
-50.0,50,595.621444
0.0,50,595.713595
-50.0,50,595.804132
-50.0,50,595.894952
