epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
212,0.8410105,0.12078958,0.20323876,0.112463325,2130.0,-13.921298,0.4,2130.0,0.4
213,0.84101945,0.1207382,0.20324051,0.11243289,2140.0,-11.7991,0.5,2140.0,0.3
214,0.8410458,0.12082011,0.20323592,0.11243513,2150.0,-21.999537,0.4,2150.0,0.1
215,0.8410745,0.12074714,0.20326644,0.11262012,2160.0,-17.157177,0.1,2160.0,0.5
216,0.8410969,0.12065663,0.20328459,0.11276582,2170.0,-16.29345,0.4,2170.0,0.4
217,0.84111357,0.120506756,0.2032697,0.11312211,2180.0,-16.826052,0.3,2180.0,0.3
218,0.8411281,0.120471895,0.20328254,0.113180496,2190.0,-26.573862,0.1,2190.0,0.3
219,0.84114164,0.12038604,0.2032705,0.11334355,2200.0,-9.397024,0.6,2200.0,0.1
220,0.8411207,0.1203717,0.20325968,0.1134539,2210.0,-10.435767,0.6,2210.0,0.1
221,0.84115726,0.1203646,0.20330149,0.113542825,2220.0,-20.389177,0.2,2220.0,0.1
222,0.84118176,0.12034991,0.20328891,0.1136666,2230.0,-22.673458,0.3,2230.0,0.2
223,0.84123975,0.120312996,0.20330279,0.113573246,2240.0,-16.311106,0.4,2240.0,0.4
224,0.84125584,0.12064242,0.20332506,0.11386358,2250.0,-15.041672,0.4,2250.0,0.2
225,0.84123784,0.12055048,0.20329838,0.113956496,2260.0,-14.690846,0.5,2260.0,0.3
226,0.8411613,0.12043556,0.20328265,0.11397304,2270.0,-24.9143,0.1,2270.0,0.5
227,0.84119636,0.12051306,0.20328902,0.11418594,2280.0,-9.974429,0.4,2280.0,0.1
228,0.84122735,0.120492585,0.20325655,0.11425614,2290.0,-26.884338,0.1,2290.0,0.4
229,0.8412313,0.12058554,0.20327207,0.11455428,2300.0,-11.776029,0.3,2300.0,0.1
230,0.8412675,0.12050292,0.2032925,0.114633285,2310.0,-21.527847,0.1,2310.0,0.3
231,0.84131527,0.12046877,0.203297,0.11462457,2320.0,-16.522745,0.3,2320.0,0.3
232,0.8413517,0.120476514,0.20330374,0.1145626,2330.0,-22.085388,0.3,2330.0,0.2
233,0.8413565,0.12062582,0.2032949,0.114641726,2340.0,-28.323523,0.1,2340.0,0.2
234,0.8413965,0.12055089,0.20330118,0.11474528,2350.0,-14.458882,0.5,2350.0,0.5
235,0.8414723,0.12050939,0.20333558,0.1149778,2360.0,-4.142078,0.7,2360.0,0.1
236,0.84146,0.1204387,0.2033231,0.11535709,2370.0,-20.92678,0.3,2370.0,0.2
237,0.84146,0.12042353,0.20335437,0.11562453,2380.0,-22.38593,0.1,2380.0,0.2
238,0.84144026,0.12032368,0.20334394,0.11566238,2390.0,-24.549946,0.3,2390.0,0.5
239,0.8415018,0.12038847,0.20333318,0.11596115,2400.0,-22.438868,0.4,2400.0,0.3
240,0.841543,0.12045574,0.20337048,0.116390266,2410.0,-21.164127,0.3,2410.0,0.2
241,0.8414941,0.12051823,0.20336,0.11644216,2420.0,-21.410854,0.3,2420.0,0.3
242,0.8415406,0.12043968,0.2033893,0.11647609,2430.0,-19.599182,0.3,2430.0,0.3
243,0.84158033,0.1204345,0.20340171,0.11669655,2440.0,-12.949257,0.5,2440.0,0.4
244,0.8415978,0.12040862,0.20340417,0.11704754,2450.0,-9.8567915,0.5,2450.0,0.3
245,0.84152466,0.12080845,0.20339917,0.11729809,2460.0,-19.035135,0.3,2460.0,0.3
246,0.8414722,0.120858155,0.20338596,0.1174845,2470.0,-18.996954,0.4,2470.0,0.2
247,0.84144896,0.12083606,0.20337473,0.117470056,2480.0,-15.594538,0.3,2480.0,0.5
