# {"t_start": 1745263611.6502566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,411.922777
-50.0,50,412.030257
-50.0,50,412.211584
-50.0,50,412.332061
-50.0,50,412.453473
-50.0,50,413.9816
-50.0,50,415.726403
-50.0,50,417.348475
-50.0,50,418.816727
-50.0,50,420.267561
-50.0,50,421.689654
-50.0,50,423.089126
-50.0,50,424.650229
-50.0,50,426.109312
-50.0,50,427.707217
-50.0,50,427.808467
-50.0,50,427.904686
-50.0,50,428.008656
-50.0,50,428.104875
-50.0,50,428.19802
-50.0,50,428.288285
-50.0,50,428.3852
-50.0,50,428.476902
-50.0,50,428.562365
-50.0,50,428.648685
-50.0,50,430.011441
-50.0,50,431.63671
-50.0,50,433.279183
-50.0,50,435.095886
-50.0,50,436.823291
-50.0,50,438.370838
-50.0,50,439.966863
-50.0,50,441.540318
-50.0,50,443.073274
-50.0,50,444.569673
-50.0,50,444.675718
-50.0,50,444.770833
-50.0,50,444.871804
-50.0,50,444.984773
-50.0,50,445.074909
-50.0,50,445.16728
-50.0,50,445.255435
-50.0,50,445.347691
-50.0,50,445.449253
-50.0,50,445.541405
-50.0,50,446.926829
-50.0,50,448.376008
-50.0,50,449.816234
-50.0,50,451.340843
-50.0,50,453.456508
-50.0,50,454.891264
-50.0,50,456.277593
-50.0,50,457.656982
-50.0,50,459.028303
-50.0,50,460.408521
-50.0,50,460.516847
-50.0,50,460.613102
-50.0,50,460.706586
-50.0,50,460.802336
-50.0,50,460.900252
-50.0,50,460.988395
-50.0,50,461.076514
0.0,50,461.161932
-50.0,50,461.253916
-50.0,50,461.343075
-50.0,50,462.694026
-50.0,50,464.060699
-50.0,50,465.425098
-50.0,50,466.786749
-50.0,50,468.171133
-50.0,50,469.57461
-50.0,50,470.932547
-50.0,50,472.295334
-50.0,50,473.663595
-50.0,50,475.058231
-50.0,50,475.157288
-50.0,50,475.258039
-50.0,50,475.347859
-50.0,50,475.437219
-50.0,50,475.533232
-50.0,50,475.618806
-50.0,50,475.704839
-50.0,50,475.803432
-50.0,50,475.891905
-50.0,50,475.976469
-50.0,50,477.339386
-50.0,50,478.70641
-50.0,50,480.090488
-50.0,50,481.48009
-50.0,50,482.841
-50.0,50,484.216402
-50.0,50,485.608603
0.0,50,486.974601
-50.0,50,488.352331
-50.0,50,489.740471
-50.0,50,489.838054
-50.0,50,489.931272
-50.0,50,490.022873
-50.0,50,490.121612
-50.0,50,490.216396
-50.0,50,490.322889
-50.0,50,490.408245
-50.0,50,490.503446
-50.0,50,490.593159
-50.0,50,490.680539
-50.0,50,492.015449
-50.0,50,493.396289
-50.0,50,494.763741
-50.0,50,496.129287
-50.0,50,497.510384
-50.0,50,498.875489
0.0,50,500.27426
-50.0,50,501.648111
-50.0,50,503.011007
-50.0,50,504.402208
-50.0,50,504.498428
-50.0,50,504.598813
-50.0,50,504.691936
-50.0,50,504.792069
-50.0,50,504.882477
-50.0,50,504.979665
-50.0,50,505.073746
-50.0,50,505.1659
-50.0,50,505.254629
-50.0,50,505.339527
-50.0,50,506.692446
-50.0,50,508.07942
-50.0,50,509.451121
-50.0,50,510.82389
-50.0,50,512.19663
