# {"t_start": 1745264905.2853973, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,458.40685
-50.0,50,458.507657
-50.0,50,458.598998
-50.0,50,458.698558
-50.0,50,458.789248
-50.0,50,458.878863
-50.0,50,458.970616
-50.0,50,459.066817
-50.0,50,459.149952
-50.0,50,460.514063
-50.0,50,461.919938
-50.0,50,463.370559
-50.0,50,465.038878
-50.0,50,466.570025
-50.0,50,468.118942
-50.0,50,469.759638
0.0,50,471.25111
-50.0,50,472.746817
-50.0,50,474.248973
-50.0,50,474.375134
-50.0,50,474.477527
-50.0,50,474.58737
-50.0,50,474.691442
-50.0,50,474.801096
-50.0,50,474.895365
-50.0,50,475.004339
-50.0,50,475.108391
-50.0,50,475.206723
-50.0,50,475.355685
-50.0,50,476.767123
-50.0,50,478.275547
-50.0,50,479.770628
-50.0,50,481.201181
-50.0,50,482.715379
-50.0,50,484.136176
-50.0,50,485.554457
0.0,50,486.962502
-50.0,50,488.438035
-50.0,50,489.862497
-50.0,50,489.980365
-50.0,50,490.078738
-50.0,50,490.172592
-50.0,50,490.264907
-50.0,50,490.360941
-50.0,50,490.466425
-50.0,50,490.565973
-50.0,50,490.662762
-50.0,50,490.755945
-50.0,50,490.844872
-50.0,50,492.214432
-50.0,50,493.637902
-50.0,50,495.050275
-50.0,50,496.45009
0.0,50,497.866182
-50.0,50,499.281331
-50.0,50,500.716989
-50.0,50,502.123959
-50.0,50,503.567818
-50.0,50,504.993164
-50.0,50,505.094217
-50.0,50,505.189987
-50.0,50,505.286106
-50.0,50,505.379693
-50.0,50,505.484688
-50.0,50,505.588224
-50.0,50,505.679594
-50.0,50,505.776052
-50.0,50,505.878056
-50.0,50,505.960561
-50.0,50,507.33796
-50.0,50,508.766849
-50.0,50,510.182653
-50.0,50,511.599073
-50.0,50,513.003503
-50.0,50,514.420479
-50.0,50,515.831727
-50.0,50,517.258706
-50.0,50,518.682422
-50.0,50,520.109198
-50.0,50,520.21143
-50.0,50,520.309773
-50.0,50,520.406242
-50.0,50,520.49742
-50.0,50,520.602145
0.0,50,520.690935
-50.0,50,520.784894
-50.0,50,520.884731
-50.0,50,520.979724
-50.0,50,521.06301
-50.0,50,522.460395
-50.0,50,523.897563
-50.0,50,525.311455
-50.0,50,526.722149
-50.0,50,528.147001
-50.0,50,529.562862
-50.0,50,530.972337
-50.0,50,532.38335
-50.0,50,533.833753
-50.0,50,535.254375
-50.0,50,535.365058
-50.0,50,535.463177
-50.0,50,535.575672
-50.0,50,535.669539
-50.0,50,535.769184
-50.0,50,535.859776
-50.0,50,535.949675
-50.0,50,536.041265
-50.0,50,536.132273
-50.0,50,536.220404
-50.0,50,537.59284
-50.0,50,538.997582
-50.0,50,540.403769
-50.0,50,541.813913
-50.0,50,543.322189
-50.0,50,544.752204
-50.0,50,546.164675
-50.0,50,547.581844
-50.0,50,549.02616
-50.0,50,550.463701
-50.0,50,550.566677
-50.0,50,550.661236
-50.0,50,550.755609
-50.0,50,550.854314
-50.0,50,550.946256
-50.0,50,551.03586
-50.0,50,551.125097
-50.0,50,551.212444
-50.0,50,551.302995
-50.0,50,551.39083
-50.0,50,552.758378
-50.0,50,554.183488
-50.0,50,555.588473
-50.0,50,556.997716
-50.0,50,558.413069
-50.0,50,559.818544
-50.0,50,561.235184
-50.0,50,562.665308
-50.0,50,564.131787
-50.0,50,565.553589
-50.0,50,565.657222
-50.0,50,565.753268
-50.0,50,565.854186
-50.0,50,565.953415
-50.0,50,566.047168
-50.0,50,566.149281
-50.0,50,566.243021
-50.0,50,566.33539
-50.0,50,566.43136
-50.0,50,566.51576
-50.0,50,567.895246
-50.0,50,569.304935
-50.0,50,570.752246
-50.0,50,572.178674
-50.0,50,573.615277
-50.0,50,575.015713
-50.0,50,576.432318
-50.0,50,577.862582
-50.0,50,579.286263
-50.0,50,580.702749
-50.0,50,580.804703
-50.0,50,580.90242
-50.0,50,581.000323
-50.0,50,581.092824
-50.0,50,581.205505
-50.0,50,581.295719
-50.0,50,581.389591
-50.0,50,581.48208
-50.0,50,581.576314
-50.0,50,581.659449
-50.0,50,583.041045
-50.0,50,584.480592
-50.0,50,585.874657
0.0,50,587.279799
-50.0,50,588.713284
-50.0,50,590.120754
-50.0,50,591.535469
0.0,50,592.940338
-50.0,50,594.379602
-50.0,50,595.811367
-50.0,50,595.924407
-50.0,50,596.023563
-50.0,50,596.121327
-50.0,50,596.222116
-50.0,50,596.313067
-50.0,50,596.403301
-50.0,50,596.492969
-50.0,50,596.599988
-50.0,50,596.690226
-50.0,50,596.775508
-50.0,50,598.147606
-50.0,50,599.553865
-50.0,50,600.959906
-50.0,50,602.372779
-50.0,50,603.828652
-50.0,50,605.234455
0.0,50,606.638731
-12.0,50,608.037048
-50.0,50,609.474231
-50.0,50,610.914537
-50.0,50,611.01769
-50.0,50,611.126288
-50.0,50,611.233465
-50.0,50,611.332749
-50.0,50,611.423034
-50.0,50,611.512959
-50.0,50,611.608225
-50.0,50,611.702712
-50.0,50,611.795693
-50.0,50,611.878414
-50.0,50,613.254665
-50.0,50,614.678158
-50.0,50,616.094191
-50.0,50,617.507801
-50.0,50,618.929342
-50.0,50,620.354456
-50.0,50,621.761229
-50.0,50,623.174491
-50.0,50,624.616368
-50.0,50,626.036016
-50.0,50,626.137247
-50.0,50,626.238718
-50.0,50,626.334325
-50.0,50,626.425618
-50.0,50,626.528845
-50.0,50,626.61846
-50.0,50,626.709419
-50.0,50,626.801112
-50.0,50,626.894216
-50.0,50,626.978151
-50.0,50,628.368332
-50.0,50,629.7818
-50.0,50,631.207217
-50.0,50,632.612132
-50.0,50,634.0794
-50.0,50,635.483918
-50.0,50,636.900718
-50.0,50,638.316465
-50.0,50,639.736647
-50.0,50,641.167516
-50.0,50,641.287498
-50.0,50,641.397814
-50.0,50,641.493033
-50.0,50,641.584675
-50.0,50,641.680879
-50.0,50,641.782054
-50.0,50,641.874094
-50.0,50,641.963326
-50.0,50,642.059397
-50.0,50,642.157979
-50.0,50,643.549831
-50.0,50,644.957254
-50.0,50,646.376933
-50.0,50,647.78058
-50.0,50,649.205842
-50.0,50,650.632571
-50.0,50,652.037361
-50.0,50,653.447773
-50.0,50,654.863778
-50.0,50,656.305922
-50.0,50,656.418501
-50.0,50,656.526293
-50.0,50,656.624681
-50.0,50,656.72175
-50.0,50,656.815243
-50.0,50,656.910187
-50.0,50,657.005328
-50.0,50,657.110904
-50.0,50,657.199738
-50.0,50,657.32294
-50.0,50,658.701166
-50.0,50,660.114147
-50.0,50,661.52484
-50.0,50,663.054104
-50.0,50,664.49339
-50.0,50,665.900867
-50.0,50,667.314866
-50.0,50,668.74183
-50.0,50,670.154509
-50.0,50,671.588544
-50.0,50,671.696347
-50.0,50,671.793489
-50.0,50,671.895508
-50.0,50,671.993316
-50.0,50,672.086747
-50.0,50,672.182097
-50.0,50,672.270551
-50.0,50,672.389008
-50.0,50,672.486699
-50.0,50,672.569181
-50.0,50,673.98046
-50.0,50,675.385901
-50.0,50,676.790531
-50.0,50,678.200512
0.0,50,679.604833
-50.0,50,681.018756
-50.0,50,682.441816
-50.0,50,684.310736
0.0,50,685.709642
-50.0,50,687.137903
-50.0,50,687.242505
-50.0,50,687.348936
-50.0,50,687.442707
-50.0,50,687.534905
-50.0,50,687.634635
-50.0,50,687.73169
-50.0,50,687.825872
-50.0,50,687.926675
